Freq.	V(n0)	V(n1)
1.00000e-001	(0.00000e+000dB,0.00000e+000°)	(-1.14494e+002dB,8.99999e+001°)
1.01099e+001	(0.00000e+000dB,0.00000e+000°)	(-7.43990e+001dB,8.99891e+001°)
2.01198e+001	(0.00000e+000dB,0.00000e+000°)	(-6.84215e+001dB,8.99783e+001°)
3.01297e+001	(0.00000e+000dB,0.00000e+000°)	(-6.49141e+001dB,8.99675e+001°)
4.01396e+001	(0.00000e+000dB,0.00000e+000°)	(-6.24225e+001dB,8.99566e+001°)
5.01495e+001	(0.00000e+000dB,0.00000e+000°)	(-6.04886e+001dB,8.99458e+001°)
6.01595e+001	(0.00000e+000dB,0.00000e+000°)	(-5.89079e+001dB,8.99350e+001°)
7.01694e+001	(0.00000e+000dB,0.00000e+000°)	(-5.75710e+001dB,8.99242e+001°)
8.01793e+001	(0.00000e+000dB,0.00000e+000°)	(-5.64127e+001dB,8.99134e+001°)
9.01892e+001	(0.00000e+000dB,0.00000e+000°)	(-5.53909e+001dB,8.99026e+001°)
1.00199e+002	(0.00000e+000dB,0.00000e+000°)	(-5.44767e+001dB,8.98918e+001°)
1.10209e+002	(0.00000e+000dB,0.00000e+000°)	(-5.36497e+001dB,8.98810e+001°)
1.20219e+002	(0.00000e+000dB,0.00000e+000°)	(-5.28945e+001dB,8.98702e+001°)
1.30229e+002	(0.00000e+000dB,0.00000e+000°)	(-5.21999e+001dB,8.98594e+001°)
1.40239e+002	(0.00000e+000dB,0.00000e+000°)	(-5.15566e+001dB,8.98485e+001°)
1.50249e+002	(0.00000e+000dB,0.00000e+000°)	(-5.09578e+001dB,8.98377e+001°)
1.60259e+002	(0.00000e+000dB,0.00000e+000°)	(-5.03976e+001dB,8.98269e+001°)
1.70268e+002	(0.00000e+000dB,0.00000e+000°)	(-4.98713e+001dB,8.98161e+001°)
1.80278e+002	(0.00000e+000dB,0.00000e+000°)	(-4.93752e+001dB,8.98053e+001°)
1.90288e+002	(0.00000e+000dB,0.00000e+000°)	(-4.89058e+001dB,8.97945e+001°)
2.00298e+002	(0.00000e+000dB,0.00000e+000°)	(-4.84605e+001dB,8.97837e+001°)
2.10308e+002	(0.00000e+000dB,0.00000e+000°)	(-4.80369e+001dB,8.97729e+001°)
2.20318e+002	(0.00000e+000dB,0.00000e+000°)	(-4.76331e+001dB,8.97621e+001°)
